CHRKINGDOMCODE,CHRRANKCODE,VCHRVALIDCHILDLIST,VCHRVALIDENDINGLIST,GUID
L    ,SFM                 , , ,3EF9DEE2-6E0C-4B89-9F9F-13CBA3AF1F49
L    ,SG                  ,"'SCT','SGP','SP'", ,E5760946-AE47-4D81-8BE0-512987C8ABEA
L    ,SGP                 ,'SP', ,C66E8FC1-2239-4BC4-8627-5DEC9AA7C5FD
L    ,SKING               ,'P', ,7DB9D948-35D4-460F-9402-6D94C6445E72
L    ,SP                  ,"'SSP','V','F'", ,7B1B49C7-040B-4D5E-A236-FAFC8EEDE150
L    ,SPC                 ,"'C','F','O'", ,B083A840-715C-4836-8A2A-26825E0961F6
L    ,SPF                 ,'F', ,A3803224-B84B-4BF4-9072-5BEBDA0A6088
L    ,SPO                 ,"'O','F'", ,038D53FE-4124-41D7-A1D2-04587FA09F90
L    ,SRS                 ,"'SSRS','SPG','SP'", ,69D500C1-AA59-4018-971D-97AC5FA88849
L    ,SSCT                ,"'SRS','SPG','SP'", ,B9DC9261-C275-4118-8384-7D0F5C4305FB
L    ,SSP                 ,"'V','FM'", ,F8F0FE60-A2C2-4124-AAE3-7B8FA8F4C3E9
L    ,SSRS                ,"'SPG','SP'", ,049AFFCF-4BBA-4D5D-8C0D-80C7B47420FD
L    ,ST                  ,"'T','G'", ,CDAB3B9D-CFDD-4390-A41A-C13F463117D6
L    ,SV                  ,'FM', ,65A132A3-4ADC-411D-9681-80A620DB139A
L    ,T                   ,"'SBT','G'", ,2B47E16C-5B49-4E1C-8277-6959C380A99E
L    ,V                   ,"'SV','FM'", ,44A837C4-D43E-4342-8C4A-3CC6CD565DA9
F    ,C                   ,"'SBC','CHRT','SPO','O','F'", ,FFDD3623-3C04-4E7C-959B-E935A449A140
F    ,CHRT                ,"'SPO','O','F'", ,1E2E2DC3-CB60-4D97-9DAF-28A9A43AC489
F    ,D                   ,"'SBD','SPC','C'", ,67E11D6C-6601-40E5-832C-DDE55943CBF0
F    ,F                   ,"'SF','G'", ,AA37E688-A30B-4877-B2FE-ADCC2468B2B2
F    ,FM                  ,'SFM', ,023B3BC2-BB71-4733-82CD-A3DFDB8EBD78
F    ,G                   ,"'SG','SCT','SGP','SP'", ,FE922BA7-C0D2-4646-8067-902175AFFA79
F    ,HO                  ,'F', ,A8A39910-1242-4FB3-84F3-C159A58EE5AC
F    ,INC                 ,"'CHRT','SPO','O','F'", ,BBDED5B9-EBB0-43E2-9E8A-6A0ED9DB1D39
F    ,INO                 ,"'F','SPF'", ,044AB8B0-56BA-426C-83DE-ED35B3368689
F    ,KING                ,"'SKING','D'", ,5ECF2D67-49DC-487C-9B25-45BE8922F419
F    ,O                   ,"'F','SBO','SPF'", ,6A84BEE1-BD07-4EC9-A682-A501BDDA5FDD
F    ,P                   ,"'SBP','SPC','C','F','O'",,357C3F7C-14EA-482E-B541-74E388A214EE
